species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
3,3,51.5,18.7,187,3250,1,2009
3,3,45.7,17.3,193,3600,2,2009
3,3,50.7,19.7,203,4050,1,2009
3,3,42.5,17.3,187,3350,2,2009
3,3,52.2,18.8,197,3450,1,2009
3,3,50.2,18.8,202,3800,1,2009
3,3,45.6,19.4,194,3525,2,2009
3,3,46.8,16.5,189,3650,2,2009
3,3,55.8,19.8,207,4000,1,2009
3,3,43.5,18.1,202,3400,2,2009
3,3,50.8,19,210,4100,1,2009
3,3,50.2,18.7,198,3775,2,2009
