species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1,1,43.1,19.2,197,3500,1,2009
1,3,37.5,18.5,199,4475,1,2009
1,3,35.6,17.5,191,3175,2,2009
1,3,40.2,20.1,200,3975,1,2009
1,3,40.2,17.1,193,3400,2,2009
1,3,40.6,17.2,187,3475,1,2009
1,3,32.1,15.5,188,3050,2,2009
1,3,40.7,17,190,3725,1,2009
1,3,37.3,16.8,192,3000,2,2009
1,3,39,18.7,185,3650,1,2009
1,3,39.2,18.6,190,4250,1,2009
1,3,36.6,18.4,184,3475,2,2009
1,3,36,17.8,195,3450,2,2009
1,3,37.8,18.1,193,3750,1,2009
1,2,45.5,13.9,210,4200,2,2008
1,2,46.5,13.5,210,4550,2,2007
1,2,42.8,14.2,209,4700,2,2007
1,3,46.5,17.9,192,3500,2,2007
1,3,49.6,18.2,193,3775,1,2009
1,3,45.6,19.4,194,3525,2,2009
1,3,51.7,20.3,194,3775,1,2007
1,3,55.8,19.8,207,4000,1,2009
2,2,36.5,16.6,181,2850,2,2008
2,3,36.2,17.3,187,3300,2,2008
2,3,36.8,18.5,193,3500,2,2009
2,1,40.3,18,195,3250,2,2007
2,3,38.9,18.8,190,3600,2,2008
2,3,39.5,17.8,188,3300,2,2007
2,2,42.7,13.7,208,3950,2,2008
2,2,51.1,16.3,220,6000,1,2008
2,2,45.2,16.4,223,5950,1,2008
2,2,48.8,16.2,222,6000,1,2009
2,3,48.1,16.4,199,3325,2,2009
2,3,43.5,18.1,202,3400,2,2009
3,1,36.6,17.8,185,3700,2,2007
3,3,41.1,17.5,190,3900,1,2009
3,2,39.6,20.7,191,3900,2,2009
3,2,40.6,18.6,183,3550,1,2007
3,2,38.1,17,181,3175,2,2009
3,1,39.7,18.4,190,3900,1,2008
3,2,35,17.9,192,3725,2,2009
3,1,39.1,18.7,181,3750,1,2007
3,1,38.8,17.6,191,3275,2,2009
3,2,41.7,14.7,210,4700,2,2009
3,2,46.8,14.3,215,4850,2,2009
3,2,44.9,13.8,212,4750,2,2009
3,3,50,19.5,196,3900,1,2007
3,3,45.4,18.7,188,3525,2,2007
3,3,45.2,17.8,198,3950,2,2007
3,3,51.3,18.2,197,3750,1,2007
3,3,46,18.9,195,4150,2,2007
3,3,46.6,17.8,193,3800,2,2007
3,3,50.5,19.6,201,4050,1,2007
3,3,58,17.8,181,3700,2,2007
3,3,46.4,18.6,190,3450,2,2007
3,3,42.4,17.3,181,3600,2,2007
3,3,50.6,19.4,193,3800,1,2007
3,3,46.7,17.9,195,3300,2,2007
3,3,50.5,18.4,200,3400,2,2008
3,3,46.4,17.8,191,3700,2,2008
3,3,52.8,20,205,4550,1,2008
3,3,40.9,16.6,187,3200,2,2008
3,3,42.5,16.7,187,3350,2,2008
3,3,49.7,18.6,195,3600,1,2008
3,3,47.5,16.8,199,3900,2,2008
3,3,47.6,18.3,195,3850,2,2008
3,3,52,20.7,210,4800,1,2008
3,3,53.5,19.9,205,4500,1,2008
3,3,46.2,17.5,187,3650,2,2008
3,3,50.9,19.1,196,3550,1,2008
3,3,50.9,17.9,196,3675,2,2009
3,3,50.8,18.5,201,4450,1,2009
3,3,51.5,18.7,187,3250,1,2009
3,3,49.8,17.3,198,3675,2,2009
3,3,42.5,17.3,187,3350,2,2009
3,3,52.2,18.8,197,3450,1,2009
3,3,45.2,16.6,191,3250,2,2009
3,3,49.3,19.9,203,4050,1,2009
3,3,51.9,19.5,206,3950,1,2009
3,3,46.8,16.5,189,3650,2,2009
3,3,45.7,17,195,3650,2,2009
3,3,50.8,19,210,4100,1,2009
3,3,50.2,18.7,198,3775,2,2009
